,projectID,sampleID,lakeID,dateSample,parameter,parameterValue,QCcode,flag,comments,metadataID,updateID,depthClass,siteName,check,plotNum,RandiComments,StuartComments,,,Sheet is filterable- 
18032,15,CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505,CR,8/6/2020,TN,1634.603,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,35,Will rerun,,,,
18036,3,FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505,FE,8/11/2020,TN,5358.405,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,55,Real. Day after large storm,,,,
18234,17,BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505,BO,8/12/2020,nitrate,294.7695,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,12,ok - matches other highs,,,,
18042,17,CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505,CB,8/12/2020,TN,1870.733,NA,2,,,,,,,,"Real. 2 days after large storm. TN high for PML and Hypo, same day. ",,,,
18041,17,CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505,CB,8/12/2020,TN,1910.903,NA,2,,,,,,,,"Real. 2 days after large storm. TN high for PML and Hypo, same day. ",,,,
18043,17,NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505,NG,8/14/2020,TN,2148.496,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,107,Will rerun,,,,
18049,15,CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505,CR,8/17/2020,TN,1717.376,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Outlet,1,43,will rerun,,,,
18052,15,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505,HB,8/18/2020,TN,4379.901,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,59,"Very high for both Hypo and Outlet on same day, but questionable so will rerun.",,,,
18053,15,HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505,HB,8/18/2020,TN,2684.433,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Outlet,1,67,"Very high for both Hypo and Outlet on same day, but questionable so will rerun.",,,,
18055,15,MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505,MO,8/19/2020,TN,3758.737,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,83,"8/19: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18056,15,MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505,MO,8/19/2020,TN,2095.931,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,95,"8/19: High TN at Hypo, Inlet 1, and Inlet 2. ",,,,
18057,15,MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505,MO,8/19/2020,TN,2606.829,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet2,1,96,"8/19: High TN at Hypo, Inlet 1, and Inlet 2. ",,,,
18059,3,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505,FE,8/20/2020,TN,2760.628,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,47,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
17866,3,FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505,FE,8/20/2020,SRP,63.12873,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,50,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18058,3,FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505,FE,8/20/2020,TN,1943.402,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,51,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18060,3,FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505,FE,8/20/2020,TN,6637.571,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,55,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
17870,17,ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505,ME,8/20/2020,SRP,13.14986,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,50,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18064,17,ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505,ME,8/20/2020,TN,2169.22,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,51,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18066,3,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505,WL,8/20/2020,TN,3029.674,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,83,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
18065,3,WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505,WL,8/20/2020,TN,1795.157,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,83,"8/20: Hypo, PML, and Inlet all have very high TN/SRP. Maybe real? High POP too",,,,
17889,35,WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505,WL,8/26/2020,SRP,58.16288,NA,0,NA,Nutrients.20110604,tableNutrients.20210220,Hypo,DeepHole,1,119,ok - barely outside of normal range,,,,
18081,35,WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505,WL,8/26/2020,TN,2724.9,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,143,"Very high for both Hypo and Outlet on same day, but questionable so will rerun.",,,,
18080,35,WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505,WL,8/26/2020,TN,1742.525,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,147,"Very high for both Hypo and Outlet on same day, but questionable so will rerun.",,,,
