projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,runID,chl,replicate,metadataID,comments,flag,updateID,check,QC (goes in db table),Randi's Comments,Stuart's thoughts
15,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505,HB,DeepHole,7/8/2020,7/8/2020 9:45,Hypo,3.5,3.5,1,24.29987,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend,I don't think this needs a flag - value not too far from normal range,
15,HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505,HB,DeepHole,8/5/2020,8/5/2020 8:55,Hypo,4,4,2,29.27081,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend,I don't think this needs a flag - value not too far from normal range,
15,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505,HB,DeepHole,8/18/2020,8/18/2020 9:50,Hypo,4,4,2,31.95304,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep lower,I don't think this needs a flag - value not too far from normal range,
17,ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505,ME,DeepHole,8/20/2020,8/20/2020 10:54,Hypo,3.5,3.5,3,19.24455,1,Chlorophyll.20110601,NA,0,TBD,0,High; rep also high,replicates close but outside of normal range,seem ok; no flag
17,ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505,ME,DeepHole,8/20/2020,8/20/2020 10:54,Hypo,3.5,3.5,2,21.06215,2,Chlorophyll.20110601,NA,0,TBD,0,High; rep also high,replicates close but outside of normal range,seem ok; no flag
15,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505,MO,DeepHole,7/6/2020,7/6/2020 9:01,Hypo,3.5,3.5,1,68.49544,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok,I don't think this needs a flag - value not too far from normal range,
15,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505,MO,DeepHole,7/20/2020,7/20/2020 9:00,Hypo,4,4,2,75.53659,2,Chlorophyll.20110601,NA,0,TBD,0,High; rep ok,I don't think this needs a flag - value not too far from normal range,
15,MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505,MO,DeepHole,8/3/2020,8/3/2020 8:50,Hypo,4,4,3,57.94613,1,Chlorophyll.20110601,NA,0,TBD,0,ok,I don't think this needs a flag - value not too far from normal range,
17,NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505,NG,DeepHole,8/14/2020,8/14/2020 10:00,Hypo,3.5,3.5,1,39.98201,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok,,seem ok; no flag
17,TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505,TU,DeepHole,7/29/2020,7/29/2020 11:30,Hypo,6,6,3,32.2265,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok,,
3,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505,WL,DeepHole,7/28/2020,7/28/2020 10:15,PML,0,1.5,2,12.07328,2,Chlorophyll.20110601,NA,0,TBD,0,ok,ok- barely outside of normal range,
3,WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505,WL,DeepHole,8/4/2020,8/4/2020 8:45,PML,0,2.5,2,12.4785,1,Chlorophyll.20110601,NA,0,TBD,0,ok,ok- barely outside of normal range,
3,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505,WL,DeepHole,8/20/2020,8/20/2020 9:10,Hypo,8,8,1,22.87421,2,Chlorophyll.20110601,NA,0,TBD,0,ok,ok- barely outside of normal range,
35,WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505,WL,DeepHole,8/26/2020,8/26/2020 11:37,PML,0,1.5,1,25.76396,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok,ok- barely outside of normal range,
