,projectID,lakeID,sampleID,dateSample,parameter,parameterValue,QCcode,flag,rerun,Randi's Comments,Stuart's thoughts,Note: POC/PON/POP can be rerun with the back-up filter. 
44,17,HB,HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505,########,POC,1840,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
452,15,HB,HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505,########,POC,2818,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
7,15,ME,ME_DeepHole_20190524_840_PML_1.5_Limno.Sample.20160505,########,particulateP,10.66596,NA,0,n,"all new data for ME, no good record for averages",,
6,3,ME,ME_DeepHole_20190730_1041_PML_2_Limno.Sample.20160505,########,PON,134,NA,0,n,"all new data for ME, no good record for averages",,
60,15,MO,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505,########,particulateP,55.86133,NA,0,n,"seems real, all spike together. no rerun",seems ok,
63,15,MO,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505,########,POC,2636.773,NA,0,n,"seems real, all spike together. high nutrients too no rerun",seems ok,
56,17,MO,MO_DeepHole_20190617_930_PML_1_Limno.Sample.20160505,########,PON,217,NA,0,n,"seems real, all spike together. no rerun",seems ok,
62,15,MO,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505,########,PON,227.133,NA,0,n,"seems real, all spike together. no rerun",seems ok,
48,17,MO,MO_Outlet_20190731_938_Surface_0_Limno.Sample.20160505,########,particulateP,27.6534,NA,1,y,"maybe part of DeepHole spike, will rerun because it's pretty high",seems ok,
66,15,MO,MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505,########,PON,182.916,NA,0,n,ok- barely outside of range,,
55,17,MO,MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505,########,particulateP,42.26765,NA,1,y,"seems real, all spike together. no rerun",seems ok,
57,17,MO,MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505,########,PON,341,NA,1,y,"seems real, all spike together. no rerun",seems ok,
601,15,MO,MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505,########,PON,265.274,NA,1,y,"seems real, all spike together. high nutrients too no rerun",seems ok,
13,17,NG,NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505,########,particulateP,17.55235,NA,0,n,ok- barely outside of range,,
15,17,NG,NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505,########,particulateP,29.18619,NA,0,n,ok- matches increase in other particulates,,
36,13,PA,PA_DeepHole_20191007_1000_PML_6_Limno.Sample.20160505,########,particulateP,13.49171,NA,0,n,ok- barely outside of range (minimum detection limit of POP is ~2-3ug/l and this (13.49) is barely outside the 2*sd (~11),,
24,34,PA,PA_DeepHole_20190401_1030_PML_2_Limno.Methane.Sample.20180416,4/1/2019,PON,229.1668,NA,0,n,Winter sample,,
241,34,PA,PA_DeepHole_20190401_1030_PML_2_Limno.Methane.Sample.20180416,4/1/2019,POC,1096.26,NA,0,n,Winter sample,,
20,34,PE,PE_DeepHole_20190401_0945_Hypo_13_Limno.Methane.Sample.20180416,4/1/2019,PON,233.7491,NA,0,n,Winter sample,,
29,34,PE,PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505,8/1/2019,particulateP,20.04782,NA,1,y,"Will rerun, maybe ok. Matches other particulate spike",,
22,34,PE,PE_DeepHole_20190401_0945_PML_2_Limno.Methane.Sample.20180416,4/1/2019,PON,335.9485,NA,0,n,Winter sample,,
34,34,PE,PE_DeepHole_20190808_1000_PML_2_Limno.Sample.20160505,8/8/2019,PON,193,NA,0,n,ok- barely outside of range,,
221,34,PE,PE_DeepHole_20190401_0945_PML_2_Limno.Methane.Sample.20180416,4/1/2019,POC,2091.613,NA,0,n,Winter sample,,
133,3,WL,WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505,7/9/2019,particulateP,6.73141,NA,0,n,ok- barely outside of range,,
136,3,WL,WL_DeepHole_20190730_842_Hypo_8_Limno.Sample.20160505,########,particulateP,7.844538,NA,0,n,ok- barely outside of range,,
1462,3,WL,WL_DeepHole_20190611_910_Hypo_8_Limno.Sample.20160505,########,particulateP,31.05694,NA,0,n,ok- barely outside of range,,
1431,3,WL,WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505,########,PON,216,NA,0,n,"seems real, POC and PON both very low for the same two weeks in a row here","seems ok, but check filter volumes?",vol ok 140ml
160,3,WL,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505,7/7/2020,PON,35.948,NA,0,n,"seems real, POC and PON both very low for the same two weeks in a row here","seems ok, but check filter volumes?",120
1601,3,WL,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505,########,POC,274.178,NA,0,n,"seems real, POC and PON both very low for the same two weeks in a row here","seems ok, but check filter volumes?",120
161,3,WL,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505,7/7/2020,POC,224.572,NA,0,n,"seems real, POC and PON both very low for the same two weeks in a row here","seems ok, but check filter volumes?",120
1361,3,WL,WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505,7/9/2019,particulateP,22.71904,NA,1,y,"Will rerun, maybe ok",,
127,3,WL,WL_DeepHole_20190611_910_PML_1.5_Limno.Sample.20160505,########,PON,138,NA,0,n,ok- barely outside of range,,
129,3,WL,WL_DeepHole_20190625_835_PML_2_Limno.Sample.20160505,########,PON,138,NA,0,n,ok- barely outside of range,,
148,3,WL,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505,########,PON,145.334,NA,0,n,ok- barely outside of range,,
147,3,WL,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505,########,POC,223.185,NA,0,n,ok- barely outside of range,,
149,3,WL,WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505,########,POC,195.331,NA,0,n,ok- barely outside of range,,
