"updateID","updateDate","verNumber","rawFile","parentBoxFolder","sourceCode","updaterInitials","updateMetadata"
"siteFISH_INFO.20170117","1/17/2017","1.0.0","siteFISH_INFO.20170117.csv","updateID_2",NA,"AR","11773 observations from SITES portion of fishInfo. Observations are between 2013-2015 sampling years. 44 new sites have been added to the SITES table with this update, largely owning to fykenet surveys in 2014, 2015 and minnow trapping"
"samplesFISH_INFO.20170117","1/17/2017","1.0.0","samplesFISH_INFO.20170117.csv","updateID_2",NA,"AR","11773 observtions from SAMPLES portion of fishINFO. A total of 948 unique (i.e. new) sampleIDs were added from this batch. A major change was adding a 'dayOfYear' column. A minor typo change was made -- 'dataSet' was changed to 'dateSet'. At the time of this update there should be 2635 observations (unique sampleIDs) for fish sampling events"
"tableFISH_INFO.20170119","1/19/2017","1.0.0","tableFISH_INFO.20170119.csv","updateID_2",NA,"AR","11773 individual fishes added from TABLE portion of fishINFO. Prior to this update the database contained 15202 observations; now a total of 26975 fishIDs. Changes to data table include the addition of a 'photo' and 'rectalTemp' column. Additionally, spelling was changed for 'gonadWeight_g' to 'gonadWeight'"
"siteCOLOR_2014to2016.20170123","1/23/2017","1.0.0","siteCOLOR_2014to2016.20170123.csv","updateID_2",NA,"AR","145 new siteIDs were added (340 previously; 485 currently) for colour between 2014-2016. Template for Color samples between 2014-2016 is found in Color2014_2016.xlsx (each year was in an original annual file that was aggregated into this 2014_2016 sample to reduce steps for putting individual years in)"
"sampleCOLOR_2014to2016.20170123","1/23/2017","1.0.0","sampleCOLOR_2014to2016.20170123.csv","updateID_2",NA,"AR","1287 COLOR observtions from 2014-2016 were added from the SAMPLES portion of COLOR. All entries were new, unique sampleIDs. "
"tableCOLOR_2014to2016.20170123","1/23/2017","1.0.0","tableCOLOR_2014to2016.20170123.csv","updateID_2",NA,"AR","1287 COLOR observations from 2014-2016 were added to the existing 652 observations in the COLOR table. No major changes were made to database structure or data"
"lakeIDs_2016","1/23/2017","1.0.0","lakes_fix.csv","updateID_2",NA,"AR","Major update to LAKES table. ### of lakeIDs were added with this update, largely because of new lakes from the 2016 bluegill survey and the 2016 Amigos survey"
"siteDOC_2014.2015","1/30/2017","1.0.0","siteDOC_2014.2015.csv","updateID_2",NA,"AR","2050 unique observations for SITES portion of DOC table between the years 2014 and 2015. Of these, there were 44 new (unique) sites added to the sites table from the two years of data. The original datasheets were independent but for ease of entering the database they are included in one ammelgamated file here."
"sampleDOC_2014.2015","1/30/2017","1.0.0","sampleDOC_2014.2015.csv","updateID_2",NA,"AR","2050 observations from SAMPLES portion of 2014 and 2015 DOC data. Of these, 847 unique sampleIDs were added to the database"
"tableDOC_2014.2015","1/30/2017","1.0.0","tableDOC_2014.2015.csv","updateID_2",NA,"AR","2050 observations from SAMPLES portion went into the DOC table. In total, 1649 new unique samples were put in. Table currently has 3132 observations in it"
"siteFISH_INFO2016.20170202","2/2/2017","1.0.0","siteFISH_INFO2016.20170202.csv","updateID_2",NA,"AR","1292 observations from SITES portion of FISH_INFO2016. These data are all from projectID 3 (Long Lake). No new site IDs were added to the current sites table"
"sampleFISH_INFO2016.20170202","2/2/2017","1.0.0","sampleFISH_INFO2016.20170202.csv","updateID_2",NA,"AR","1292 observations from SAMPLES portion of FISH_INFO2016. Of the 1292 rows of data there were only 266 new unique sampleIDs. Within these 266 unique IDs, 6 were actually duplicates that got caught in secondary screening, so in total 260 IDs were added (grand total of 2895 Fish SampleIDs in total)"
"tableFISH_INFO2016.20170202","2/2/2017","1.0.0","tableFISH_INFO2016.20170202.csv","updateID_2",NA,"AR","1292 observations from TABL portion of FISH_INFO2016 were added to the database. Each observation represents a new, unique fishID (fish captured). All these fishIDs are from LongLake 2016 sampling"
"siteDOC2016.20170424","4/24/2017","1.0.0","siteDOC2016_20170424.csv","updateID_2",NA,"AR","730 observations from SITES portion of DOC2016. There were only 2 new siteIDs (all from lake BT). Existing db had 485 siteIDs, new update has 487"
"samplesDOC2016.20170424","4/24/2017","1.0.0","samplesDOC2016.20170424.csv","updateID_2",NA,"AR","730 observations from SAMPLES portion of DOC2016. A total of 105 unique observations were added to the SAMPLES table. In siteID check there was an error indicating that a number of siteIDs were not present in the database. This included siteIDs from PLM, HB, CR, FT, AL, HN, NN, OX and VA. Alex will look into this (talk to Patrick about mentee project)"
"tableDOC2016.20170424","4/24/2017","1.0.0","tableDOC2016.20170424.csv","updateID_2",NA,"AR","730 observations from TABLE portion of DOC2016 were added. Two old sampledIDs (for duplicate samples) were fixed where depthTop and depthBottom did not match -- it was 'WL_DeepHole_20110727_0940_Hypo_1_Limno.Sample.20110517' "
"sitePOC2016.20170424","4/24/2017","1.0.0","sitePOC2016_20170424.csv","updateID_2",NA,"KS","316 observations from SITES portion of POC2016. There were no new siteIDs. Removed 50 siteIDs from SITES db table that were added under 'siteCOLOR_2014to2016.20170123' update that were errors or typos, or were from the 2016 mesocosm data that will not go in the database. Total siteIDs now is 437. "
"samplesPOC2016.20170424","4/24/2017","1.0.0","samplesPOC2016_20170424.csv","updateID_2",NA,"KS","316 observations from the SAMPLES portion of POC2016. 24 sampleIDs were unique. Removed 13 sampleIDs that were duplicates (4 from POC2016 update and 9 from DOC2016 update)  and 84 samples IDs from 2016 mesocosm data that will not be in the database. Also fixed errors and typos in sampleIDs."
"tablePOC2016.20170424","4/24/2017","1.0.0","tablePOC2016_20170424.csv","updateID_2",NA,"KS","316 observations from the Table portion of POC2016 were added. One old sampleID and depth fixed where top and bottom did not match depthClass, it was 'WL_DeepHole_20110727_0940_Hypo_1_Limno.Sample.20110517'. 10 duplicate sampleIDs were deleted bringing the table total to 526, even though the POC/PON values were different. This was not noticed until after new db file was made. This table will be edited for the next update to the POC table."
"siteChlorophyll_2014to2016.20170519","5/19/2017","1.0.0","siteChlorophyll_2014to2016_20170519.csv","updateID_2",NA,"KS","1324 observations from the SITES portion of the table. There were no unique sites, keeping the total at 437."
"samplesChlorophyll_2014to2016.20170519","5/19/2017","1.0.0","samplesChlorophyll_2014to2016_20170519.csv","updateID_2",NA,"KS","1324 observations from the SAMPLES portion of Chlorophyll 2014-2016. Only 244 were unique. After editing duplicates, two new sampleIDs were added to bring SAMPLES table to a total of 17822. "
"tableChlorophyll_2014to2016.20170519","5/19/2017","1.0.0","tableChlorophyll_2014to2016_20170519.csv","updateID_2",NA,"KS","1324 observation from the Table portion of Chlorophyll 2014-2016. All were added to make the new table size 2674. Edited 3 instances where depths did not match depth class.  Changed point collection at depth 0,0 to 'Surface' to reflect grab sample collection versus van dorn. Removed 14 duplicates. Removed 44 from two experiments and moved to their own files. Table total at 2616."
"sitePOC.20170529","5/29/2017","1.0.0","sitePOC_20170529.csv","updateID_2",NA,"KS","1094 observations from the SITES portion of POC. 25 sites were unique. 2 sites were removed as duplicates from sitePOC.20170529 and siteCOLOR_2014to2016.20170123 as the original database updateID entries had 'Inlet' instead of 'Inlet1'. 1 more siteID added after comparing sample to site table. Total for this table is now at 461."
"samplesPOC.20170529","5/29/2017","1.0.0","samplesPOC_20170529.csv","updateID_2",NA,"KS","1094 observations from the SAMPLES portion of POC. 333 unique sampleIDS added. Removed 29 duplicate sampleIDs to bring total to 18126. Edited some site names (Inlet to Inlet1, etc). Added 4 sampleIDs due to changes in POC table bringing total to 18130."
"tablePOC.20170529","5/29/2017","1.0.0","tablePOC_20170529.csv","updateID_2",NA,"KS","1094 observations from TABLE portion of POC added. Edited typos of siteID (OWC to OWC1). Removed 43 duplicates to bring total to 1577. 10 duplicate samples accidentally deleted in POC2016 update- went through to either average values or add values in the case where halves of filter were analyzed separately. Total for this table is still at 1577."
"lakeIDs_2016","6/8/2017","1.0.0","lakes_fix.csv","updateID_2",NA,"KS","Last lake update was unsuccessful. Added 77 lakes to bring table total to 137. Most new lakes added from the 2016 bluegill survey and the 2016 Amigos survey."
"siteStaffGauges.20170608","6/8/2017","1.0.0","siteStaffGauges_20170608.csv","updateID_2",NA,"KS","348 observations from SITES portion. Only 6 sites were unique and added to bring total to 467."
"samplesStaffGauges.20170608","6/8/2017","1.0.0","samplesStaffGauges_20170608.csv","updateID_2",NA,"KS","348 observations from SAMPLES portion. All were unique, 1 duplicate was removed, bringing total to 18477."
"tableStaffGauges.20170608","6/8/2017","1.0.0","tableStaffGauges_20170608.csv","updateID_2",NA,"KS","347 observations from Table portion after one duplicate sample was removed before loading into R. Table total is 572. Edited 63 instances of 'Inlet' to 'Inlet1'."
"sitePiezoLake.20170609","6/9/2017","1.0.0","sitePiezoLake_20170609.csv","updateID_2",NA,"KS","330 observations from SITES portion. 19 unique sampleIDs added. 4 duplicate IDs removed from the siteStaffGauges.20170608 updateID. Table total is 482."
"samplesPiezoLake.20170609","6/9/2017","1.0.0","samplesPiezoLake_20170609.csv","updateID_2",NA,"KS","330 unique observations added from SAMPLES portion for a table total of 18807."
"tablePiezoLake.20170609","6/9/2017","1.0.0","tablePiezoLake_20170609.csv","updateID_2",NA,"KS","330 observations from TABLE portion added to bring total to 546. Added 'flag' column."
"sitePiezoInstall.20170609","6/9/2017","1.0.0","sitePiezoInstall_20170609.csv","updateID_2",NA,"KS","19 observations from the SITES portion, but none were unique. Table total still 482."
"tablePiezoInstall.20170609","6/9/2017","1.0.0","tablePiezoInstall_20170609.csv","updateID_2",NA,"KS","19 observations from the Table portion. All added to bring table total to 42. Added metadataID column to table. "
"siteRhod.20170612","6/12/2017","1.0.0","siteRhod_20170612.csv","updateID_2",NA,"KS","335 observations from the SITES portion. No siteIDs were unique. Table total still 482. "
"samplesRhod.20170612","6/12/2017","1.0.0","samplesRhod_20170612.csv","updateID_2",NA,"KS","335 observations from the SAMPLES portion. 21 unique sampleIDs were added to bring total to 18828."
"tableRhod.20170612","6/12/2017","1.0.0","tableRhod_20170612.csv","updateID_2",NA,"KS","335 observations from the TABLE portion. All were unique as this table was being created during this update. Table total is 335."
"siteRhodRelease.20170612","6/12/2017","1.0.0","siteRhodRelease_20170612.csv","updateID_2",NA,"KS","19 observations from the SITES portion. 4 were unique and added to bring table total to 486."
"tableRhodRelease.20170612","6/12/2017","1.0.0","tableRhodRelease_20170612.csv","updateID_2",NA,"KS","19 observations from the TABLE portion. All were unique as this table was created during this update. "
"metadataIDs.20170614","6/14/2017","1.0.0","metadata_fix_20170614.csv","updateID_2",NA,"KS","added 21 new metadata IDs to this table (total is 103)."
"units.20170615","6/15/2017","1.0.0","units_fix_20170615.csv","updateID_2",NA,"KS","added 'flag' to Piezometers_Lake. Added 'metadataID' to Piezometers_Install. Added entrie rhodamine and rhodamine_release table units."
"siteZoopsSubsample.20170623","6/23/2017","1.0.0","siteZoopsSubsample_20170623.csv","updateID_2",NA,"KS","536 observations from the SITES portion of the table. No new unique siteIDs were added. Removed 2 duplicate sites. Table is still at 484."
"samplesZoopsSubsample.20170623","6/23/2017","1.0.0","samplesZoopsSubsample_20170623.csv","updateID_2",NA,"KS","536 observations from the SAMPLES portion of the table. 529 unique sampleIDs were added, and 3 duplicate sampleIDs were removed to bring table total to 19354."
"tableZoopsSubsample.20170623","6/23/2017","1.0.0","tableZoopsSubsample_20170623.csv","updateID_2",NA,"KS","536 observations from the TABLE portion of the table. 1 duplicate removed to bring table total to 736. added metadataID and comments columns to table."
"projects.2017","6/23/2017","1.0.0","projects_fix_20170626.csv","updateID_2",NA,"KS","Up to projectID 32 added to bring table total to 31."
"units.20170626","6/23/2017","1.0.0","units_fix_20170626.csv","updateID_2",NA,"KS","added metadataID and comments to Zoops_Subsample, added parameter and parameterValue to Nutrients."
"siteNutrients.20170703","7/3/2017","1.0.0","siteNutrients_20170703.csv","updateID_2",NA,"KS","4544 observations from the SITES portion of the table. No new sampleIDs added to the table so total still at 484."
"samplesNutrients.20170703","7/3/2017","1.0.0","samplesNutrients_20170703.csv","updateID_2",NA,"KS","4544 observations from the SAMPLES portion of the table. 163 were unique sampleIDs. Removed 37 duplicates and added one new sample (after dealing with table duplicates) to bring total to 19481."
"tableNutrients.20170703","7/3/2017","1.0.0","tableNutrients_20170703.csv","updateID_2",NA,"KS","Took the original table data and reorganized into new table long format. Parameter column indicates which analysis and parameterValue is the actual concentration for that analysis. 4544 observations added from the TABLE portion and added the original table data. Made some edits to typos in siteIDs, depths. Removed 206 entries due to duplicates or samples that were rerun due to getting odd values the first time. Table total at 7199."
"siteLimno_Profiles.20170706","7/6/2017","1.0.0","sitelimnoprofiles_20170706.csv","updateID_2",NA,"KS","4405 observations from the SITES portion of the table. 2 unique siteIDs were added to the sites table to bring total to 486."
"samplesLimno_Profiles.20170706","7/6/2017","1.0.0","sampleslimnoprofiles_20170706.csv","updateID_2",NA,"KS","4405 observations from the SAMPLES portion of the table. 4382 unique sampleIDs were added to bring total to 23863. Removed 18 duplicates and added one new sampleID after adding in table portion for table total 23846."
"tableLimno_Profiles.20170706","7/6/2017","1.0.0","tablelimnoprofiles_20170706.csv","updateID_2",NA,"KS","only 4365 observations from the TABLE portion of limnoprofiles. Removed a lot of duplicate entries and data entry errors that were noticed after template had been compiled (this is why total does not match sites and samples portions). Table total is 16138."
"metadataIDs.20170707","7/7/2017","1.0.0","metadata_current_fix.csv","updateID_2",NA,"KS","added one new metadataID (2 lines- 2 documents) for a table total of 105."
"units.20170707","7/7/2017","1.0.0","units_fix_20170707.csv","updateID_2",NA,"KS","added metadataID to Limno_Profiles and sampleID to GC."
"siteGC(dic)2015.20170707","7/7/2017","1.0.0","siteGC(dic)2015_20170707.csv","updateID_2",NA,"KS","8919 observations from the SITES portion. 50 unique siteIDs added to make the table total 536."
"samplesGC(dic)2015.20170707","7/7/2017","1.0.0","samplesGC(dic)2015_20170707.csv","updateID_2",NA,"KS","8919 observations from the SAMPLES portion. 1767 unique sampleIDs were added to bring table total to 25613."
"tableGC(dic)2015.20170707","7/7/2017","1.0.0","tableGC(dic)2015_20170707.csv","updateID_2",NA,"KS","8824 observations from the TABLE portion after duplicates were found and removed. This table was previously empty. Converted dic and PCO2 table data to GC table format to consolidate all gc data in one table."
"tableDryMassEquations.20170712","7/12/2017","1.0.0","tableDryMassEquations_20170712.csv","updateID_2",NA,"KS","97 observations added when creating this table. "
"siteperiphyton.20170712","7/12/2017","1.0.0","siteperiphyton_20170712.csv","updateID_2",NA,"KS","24 observations from the SITES portion, but none were unique. Table total still 536."
"samplesperiphyton.20170712","7/12/2017","1.0.0","samplesperiphyton_20170712.csv","updateID_2",NA,"KS","24 observations from the SAMPLES portion and 8 sampleIDs were unique and added to bring total to 25621."
"tableperiphyton.20170712","7/12/2017","1.0.0","tableperiphyton_20170712.csv","updateID_2",NA,"KS","24 observations from the TABLE portion and all added to bring table total to 44 (isotope_samples_periphyton)"
"siteBenthicInverts.20170713","7/13/2017","1.0.0","siteBenthicInverts_20170713.csv","updateID_2",NA,"KS","Many new columns added to benthic_inverts table- replaced entire table adding in 2015 data. Only 5 new siteIDs added to sites table for 541 total."
"samplesBenthicInverts.20170713","7/13/2017","1.0.0","samplesBenthicInverts_20170713.csv","updateID_2",NA,"KS","Entire benthic inverts table wiped clean and new restructured table with all data through 2015 added back in. This involved removing 966 previous entries in the SAMPLES table and adding back in 1187 new sampleIDs. Table total at 25842."
"tableBenthicInverts.20170713","7/13/2017","1.0.0","tableBenthicInverts_20170713.csv","updateID_2",NA,"KS","entire benthic inverts table emptied  like with samples table above. Table restructured and all data through 2015 added back in. Many new columns added including invertID, subclass, order, family, subfamily, tribe, genus, scopeID, geneticProcess, geneticID, confidence, trayNumber, invertNum, dryMass. New table has total of 28869. column name order had to be changed to 'orderSample' to remove sql script error. "
"samplesIsoBenthic.20170714","7/14/2017","1.0.0","samplesIsoBenthic_20170714.csv","updateID_2",NA,"KS","No site table added for this update since there were only 2 siteIDs and neither were unique. 85 observations from the SAMPLES portion and 24 unique sampleIDs were added to bring table total to 25866."
"tableIsoBenthic.20170714","7/14/2017","1.0.0","tableIsoBenthic_20170714.csv","updateID_2",NA,"KS","85 observations from the TABLE portion brought table total to 254."
"siteBacProdBen.20170717","7/17/2017","1.0.0","siteBacProdBen_20170717.csv","updateID_2",NA,"KS","213 observations from the SITES portion of the table. None were unique siteIDs so table total remains at 541."
"samplesBacProdBen.20170717","7/17/2017","1.0.0","samplesBacProdBen_20170717.csv","updateID_2",NA,"KS","213 observations from the SAMPLES portion of the table. All were unique sampleIDs and table total is at 26079. Removed 'NA' updateID and changed to 'sampleDOC_2014.2015'. "
"tableBacProdBen.20170717","7/17/2017","1.0.0","tableBacProdBen_20170717.csv","updateID_2",NA,"KS","213 observations from the TABLE portion. All were added to bring table total to 272. "
"metadata.20170717","7/17/2017","1.0.0","metadata_20170717.csv","updateID_2",NA,"KS","edited protocol for PeriphytonTile.Sample.20120601, zoobenthos.Isotope.Sample.20110714, and FishDiets.20121009. Edited typo in Dry mass equations metadataID. "
"units.20170717","7/17/2017","1.0.0","units_fix_20170717.csv","updateID_2",NA,"KS","updated dry_mass_equations, benthic_inverts, isotope_samples_benthic_inverts, isotope_samples_periphyton, bacterial_production_benthic"
"otu.20170717","7/17/2017","1.0.0","otu_fix_20170717.csv","updateID_2",NA,"KS","added 14 new taxa to this list. Table total is now at 263."
"siteFishInfoMonitoring.20170719","7/19/2017","1.0.0","siteFishInfoMonitoring_20170709.csv","updateID_2",NA,"KS","26307 observations from the SITES portion, only 356 unique siteIDs added to bring table total to 897."
"samplesFishInfoMonitoring.20170719","7/19/2017","1.0.0","samplesFishInfoMonitoring_20170719.csv","updateID_2",NA,"KS","26307 observations from the FISH_SAMPLES portion, only 3487 unique sampleIDs added to FISH_SAMPLES table to bring total to 6382. Removed 72 duplicates, added one new sampleID after fixing typos in fish_info table. Removed one sampleID after fixing typos in fish_otoliths table. Removed 322 duplicate sampleIDs with different times. Added one new sampleID with diet table edits. Total is 5988."
"tableFishInfoMonitoring.20170719","7/19/2017","1.0.0","tableFishInfoMonitoring_20170719.csv","updateID_2",NA,"KS","The same original db data was apparently in the table three times. First, from the original database, the second set has no updateID so not sure when this was added, and then it was added a third time with other new data with the tableFISH_INFO.20170119 updateID. I removed the two sets of the data (total 15202 rows). Table total at 39372. Made a lot of edits to formatting of fishID and typos in the dates and metadataIDs."
"tableFishOtoliths.20170724","7/24/2017","1.0.0","tableFishOtoliths_20170724.csv","updateID_2",NA,"KS","replaced entire table. New column 'year' added. New data plus reformatting of original table data. Total is 3386. Edited errors and typos in fishIDs to match fish_info table. "
"tableFishDiets.20170725","7/25/2017","1.0.0","tableFishDiets_20170725.csv","updateID_2",NA,"KS","replaced the entire table. Columns added for other lengths and dry mass info. Table total is 4134."
"otu.20170726","7/26/2017","1.0.0","out_fix_20170726.csv","updateID_2",NA,"KS","added 32 new taxa after fish_diets table and benthic_inverts table were updated. Table total is 295."
"units.20170726","7/26/2017","1.0.0","units_fix_20170726.csv","updateID_2",NA,"KS","updated fish_info, fish_samples, fish_diets, fish_otoliths"
"siteZoopsAbund.20170727","7/27/2017","1.0.0","siteZoopsAbund_20170727.csv","updateID_2",NA,"KS","396 observations from the SITES portion of the table but no siteIDs were unique. Added 9 sites that needed to be added from a doc table update (FT_T7, etc). Table total at 906."
"samplesZoopsAbund.20170727","7/27/2017","1.0.0","samplesZoopsAbund_20170727.csv","updateID_2",NA,"KS","396 observations from the SAMPLES portion of the table. 56 unique sampleIDs were added to bring total to 26135."
"tableZoopsAbund.20170727","7/27/2017","1.0.0","tableZoopsAbund_20170727.csv","updateID_2",NA,"KS","396 observations from the table portion and all added to make table total 1459."
"otu.20170727","7/27/2017","1.0.0","otu_fix_20170727.csv","updateID_2",NA,"KS","added 'nauplii' (in zoops_abund_biomass) and 'frenesia' (in benthic_inverts). Total is 297."
"siteZoopsLengths.20170728","7/28/2017","1.0.0","siteZoopsLengths_20170728.csv","updateID_2",NA,"KS","2027 observations from the SITES portion of the table, but no unique siteIDs. Total at 906."
"samplesZoopsLengths.20170728","7/28/2017","1.0.0","samplesZoopsLengths_20170728.csv","updateID_2",NA,"KS","2027 observations from the SAMPLES portion of the table. Only 9 unique sampleIDs added for a total of 26144."
"tableZoopsLengths.20170728","7/28/2017","1.0.0","tableZoopsLengths_20170728.csv","updateID_2",NA,"KS","2027 observation from the table portion added to bring total to 26112."
"units.20170728","7/28/2017","1.0.0","units_fix_20170728.csv","updateID_2",NA,"KS","changed comments column to metadataID in Zoops_Lengths"
"fishInfo.20170728","7/28/2017","1.0.0","fishInfo_20170728.csv","updateID_2",NA,"KS","added 10 fish missing from 2012. table total at 39382."
NA,"8/3/2017","1.0.0","SITES","updateID_2",NA,"KS","removed CR_Inlet1. table total 905"
NA,"8/3/2017","1.0.0","DOC","updateID_2",NA,"KS","edited typos in site names, changed incorrect lakeIDs. Edited dates in 2014 sampleIDs. No lines added or removed. Table total still at 3862."
NA,"8/3/2017","1.0.0","COLOR","updateID_2",NA,"KS","edited dates, siteNames and other typos and formatting issues. No lines added or removed. Table total at 1855. "
"color.20170804","8/4/2017","1.0.0","SAMPLES","updateID_2",NA,"KS","added two new sampleIDs missing from color update. Edited dates from DOC 2014 sampleIDs. Table total at 26146."
"color.20170804","8/4/2017","1.0.0","SITES","updateID_2",NA,"KS","added CYB_DeepHole siteID to bring table total to 906."
"lakes.20170804","8/4/2017","1.0.0","lakes_fix.csv","updateID_2",NA,"KS","changed Crystal Bog to CYB. Removed HN empty line, changed Horsehead to HH and HH Helen to HN. Table total is 136."
NA,"8/4/2017","1.0.0","CHLOROPHYLL","updateID_2",NA,"KS","changed Crystal Bog to CYB. "
NA,"8/4/2017","1.0.0","LIMNO_PROFILES","updateID_2",NA,"KS","changed Crystal Bog to CYB. Changed horsehead (HO) back to HH"
NA,"8/4/2017","1.0.0","POC","updateID_2",NA,"KS","changed Crystal Bog to CYB. Changed cr_inlet1 to cr_outlet"
NA,"8/4/2017","1.0.0",NA,"updateID_2",NA,"KS","removed PCO2, DIC_CH4 and CH4_PRODUCTION tables from database. PCO2 and DIC were reformatted and added to GC table. CH4_PRODUCTION table was not being used."
"siteFISHINFO2016BLG.20170927","9/27/2017","1.0.0","siteFISHINFO2016BLG_20170927.csv","summer2017",NA,"AR","6584  observations in SITES portion of fish info table, with 86 new uniwue siteIDs added to the sites table. "
