Run Number:,reruns,Date:,20210419,...5,Initials:,RN,...8,...9,...10
MAX,3.012860336947692E-5,0.00053071143016369,0.00102763073553269,0.00151708272581299,0.00208379926322094,0.00265420656329292,9.5388480417186138E-4,4.563579907160113E-4,1.2116424848586573E-3
,,,,,,,,,
[Aliquot],10.042867789825639,176.903810054563,342.543578510895,505.694241937665,694.599754406981,884.735521097639,317.96160139062044,152.11933023867044,403.88082828621907
Dilution factor,1,1,1,1,1,1,1,1,1
[Sample],10.042867789825639,176.903810054563,342.543578510895,505.694241937665,694.599754406981,884.735521097639,317.96160139062044,152.11933023867044,403.88082828621907
Slope:,3.0000000000000001E-6,,,,,,,,
Intercept:,0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ESTIMATED DOUBLE DERIVATIVE AT EACH WAVELENGTH BASED ON POLYNOMIAL FIT,,,,,,,,,
Wavelength,,,,,,,,,
200,-7.7798293419701313E-5,-0.00033094173924833,-0.000605320793211056,-0.000862077665617817,-0.00117022737251011,-0.00148108297279664,-6.7192250239685083E-4,7.9179726043991172E-5,-9.7101469282876059E-4
201,-7.5639755483917787E-5,-0.000313708675860089,-0.000572661762636182,-0.000814494457789201,-0.00110514683979549,-0.00139837718207484,-6.3940635626547667E-4,8.6723291337431532E-5,-9.2736154927501244E-4
202,-7.3481217548134207E-5,-0.000296475612471848,-0.000540002732061307,-0.000766911249960586,-0.00104006630708087,-0.00131567139135306,-6.0689021013410251E-4,9.4266856630871891E-5,-8.8370840572126429E-4
203,-7.1322679612350628E-5,-0.000279242549083608,-0.000507343701486432,-0.000719328042131968,-0.000974985774366248,-0.00123296560063126,-5.7437406400272836E-4,1.0181042192431225E-4,-8.4005526216751614E-4
204,-6.9164141676567048E-5,-0.000262009485695368,-0.000474684670911558,-0.000671744834303352,-0.000909905241651627,-0.00115025980990947,-5.418579178713542E-4,1.0935398721775261E-4,-7.9640211861376625E-4
205,-6.7005603740783522E-5,-0.000244776422307128,-0.000442025640336683,-0.000624161626474737,-0.000844824708937006,-0.00106755401918768,-5.0934177173998004E-4,1.1689755251119319E-4,-7.527489750600181E-4
206,-6.4847065804999942E-5,-0.000227543358918887,-0.000409366609761807,-0.000576578418646121,-0.000779744176222385,-0.000984848228465889,-4.7682562560860588E-4,1.2444111780463354E-4,-7.0909583150626995E-4
207,-6.2688527869216362E-5,-0.000210310295530647,-0.000376707579186932,-0.000528995210817503,-0.000714663643507764,-0.0009021424377441,-4.4430947947723173E-4,1.319846830980739E-4,-6.654426879525218E-4
208,-6.0529989933432783E-5,-0.000193077232142406,-0.000344048548612058,-0.000481412002988887,-0.000649583110793143,-0.000819436647022307,-4.117933333458567E-4,1.3952824839151426E-4,-6.2178954439877365E-4
209,-5.8371451997649257E-5,-0.000175844168754166,-0.000311389518037183,-0.000433828795160272,-0.000584502578078522,-0.000736730856300518,-3.7927718721448254E-4,1.4707181368495462E-4,-5.781364008450255E-4
210,-5.6212914061865677E-5,-0.000158611105365926,-0.000278730487462308,-0.000386245587331656,-0.0005194220453639,-0.000654025065578726,-3.4676104108310839E-4,1.546153789783952E-4,-5.3448325729127735E-4
211,-5.4054376126082097E-5,-0.000141378041977685,-0.000246071456887434,-0.000338662379503038,-0.000454341512649279,-0.000571319274856933,-3.1424489495173423E-4,1.6215894427183556E-4,-4.908301137375292E-4
212,-5.1895838190298572E-5,-0.000124144978589445,-0.000213412426312559,-0.000291079171674423,-0.000389260979934658,-0.000488613484135144,-2.8172874882036007E-4,1.6970250956527592E-4,-4.4717697018378105E-4
213,-4.9737300254514992E-5,-0.000106911915201205,-0.000180753395737684,-0.000243495963845807,-0.000324180447220037,-0.000405907693413352,-2.4921260268898592E-4,1.7724607485871628E-4,-4.0352382663003117E-4
214,-4.7578762318731412E-5,-0.0000896788518129641,-0.000148094365162809,-0.000195912756017191,-0.000259099914505415,-0.000323201902691563,-2.1669645655761176E-4,1.8478964015215685E-4,-3.5987068307628302E-4
215,-4.5420224382947832E-5,-0.0000724457884247239,-0.000115435334587934,-0.000148329548188574,-0.000194019381790794,-0.00024049611196977,-1.841803104262376E-4,1.9233320544559721E-4,-3.1621753952253487E-4
216,-4.3261686447164307E-5,-0.0000552127250364833,-0.0000827763040130592,-0.000100746340359958,-0.000128938849076173,-0.000157790321247978,-1.5166416429486258E-4,1.9987677073903757E-4,-2.7256439596878672E-4
217,-4.1103148511380727E-5,-0.0000379796616482432,-0.0000501172734381841,-0.000053163132531342,-0.0000638583163615515,-0.0000750845305261885,-1.1914801816348842E-4,2.0742033603247793E-4,-2.2891125241503857E-4
218,-3.8944610575597147E-5,-0.0000207465982600026,-0.0000174582428633099,-0.0000055799247027262,0.00000122221635306952,0.00000762126019560397,-8.6631872032114261E-5,2.1496390132591829E-4,-1.8525810886129042E-4
219,-3.6786072639813621E-5,-0.00000351353487176246,0.0000152007877115652,0.0000420032831258913,0.0000663027490676906,0.000090327050917393,-5.4115725900740104E-5,2.2250746661935886E-4,-1.4160496530754227E-4
220,-3.4627534704030041E-5,0.0000137195285164781,0.0000478598182864403,0.0000895864909545071,0.000131383281782312,0.000173032841639185,-2.1599579769365947E-5,2.3005103191279922E-4,-9.7951821753792384E-5
221,-3.2468996768246462E-5,0.0000309525919047187,0.0000805188488613154,0.000137169698783123,0.000196463814496933,0.000255738632360978,1.0916566362008211E-5,2.3759459720623958E-4,-5.4298678200044234E-5
222,-3.0310458832462882E-5,0.0000481856552929589,0.00011317787943619,0.00018475290661174,0.000261544347211554,0.000338444423082767,4.3432712493382368E-5,2.4513816249967994E-4,-1.0645534646296084E-5
223,-2.8151920896679356E-5,0.0000654187186811994,0.000145836910011065,0.000232336114440356,0.000326624879926175,0.00042115021380456,7.5948858624756525E-5,2.526817277931203E-4,3.3007608907452066E-5
224,-2.5993382960895776E-5,0.0000826517820694396,0.00017849594058594,0.000279919322268972,0.000391705412640796,0.000503856004526349,1.0846500475613155E-4,2.6022529308656088E-4,7.6660752461200216E-5
225,-2.3834845025112197E-5,0.0000998848454576802,0.000211154971160814,0.000327502530097588,0.000456785945355417,0.000586561795248141,1.4098115088750571E-4,2.6776885838000124E-4,1.2031389601494837E-4
226,-2.1676307089328671E-5,0.00011711790884592,0.000243814001735689,0.000375085737926205,0.000521866478070038,0.000669267585969933,1.7349729701887986E-4,2.7531242367344159E-4,1.6396703956869652E-4
227,-1.9517769153545037E-5,0.000134350972234161,0.000276473032310564,0.000422668945754821,0.000586947010784659,0.000751973376691723,2.0601344315025402E-4,2.8285598896688195E-4,2.0762018312244467E-4
228,-1.7359231217761511E-5,0.000151584035622401,0.000309132062885439,0.000470252153583437,0.00065202754349928,0.000834679167413515,2.3852958928162818E-4,2.9039955426032253E-4,2.5127332667619282E-4
229,-1.5200693281977986E-5,0.000168817099010641,0.000341791093460313,0.000517835361412053,0.000717108076213901,0.000917384958135304,2.7104573541300234E-4,2.9794311955376289E-4,2.949264702299427E-4
230,-1.3042155346194352E-5,0.000186050162398882,0.000374450124035189,0.00056541856924067,0.000782188608928522,0.0010000907488571,3.0356188154437649E-4,3.0548668484720325E-4,3.3857961378369085E-4
231,-1.0883617410410826E-5,0.000203283225787122,0.000407109154610064,0.000613001777069286,0.000847269141643143,0.00108279653957889,3.3607802767575065E-4,3.1303025014064361E-4,3.82232757337439E-4
232,-8.7250794746273003E-6,0.000220516289175363,0.000439768185184938,0.000660584984897902,0.000912349674357764,0.00116550233030068,3.6859417380712568E-4,3.2057381543408397E-4,4.2588590089118715E-4
233,-6.5665415388436663E-6,0.000237749352563603,0.000472427215759813,0.000708168192726517,0.000977430207072385,0.00124820812102247,4.0111031993849983E-4,3.2811738072752454E-4,4.695390444449353E-4
234,-4.4080036030601406E-6,0.000254982415951844,0.000505086246334688,0.000755751400555135,0.00104251073978701,0.00133091391174426,4.3362646606987399E-4,3.356609460209649E-4,5.1319218799868345E-4
235,-2.249465667276615E-6,0.000272215479340084,0.000537745276909563,0.000803334608383751,0.00110759127250163,0.00141361970246605,4.6614261220124815E-4,3.4320451131440526E-4,5.568453315524316E-4
236,-9.0927731492980966E-8,0.000289448542728324,0.000570404307484437,0.000850917816212366,0.00117267180521625,0.00149632549318784,4.9865875833262231E-4,3.5074807660784562E-4,6.0049847510618148E-4
237,2.0676102042905447E-6,0.000306681606116564,0.000603063338059312,0.000898501024040982,0.00123775233793087,0.00157903128390963,5.3117490446399646E-4,3.5829164190128598E-4,6.4415161865992963E-4
238,4.2261481400741787E-6,0.000323914669504805,0.000635722368634187,0.0009460842318696,0.00130283287064549,0.00166173707463143,5.6369105059537062E-4,3.6583520719472656E-4,6.8780476221367778E-4
239,6.3846860758577043E-6,0.000341147732893045,0.000668381399209062,0.000993667439698216,0.00136791340336011,0.00174444286535322,5.9620719672674478E-4,3.7337877248816691E-4,7.3145790576742593E-4
240,8.54322401164123E-6,0.000358380796281285,0.000701040429783938,0.00104125064752683,0.00143299393607473,0.00182714865607501,6.287233428581198E-4,3.8092233778160727E-4,7.7511104932117408E-4
241,1.0701761947424864E-5,0.000375613859669526,0.000733699460358811,0.00108883385535545,0.00149807446878935,0.0019098544467968,6.6123948898949396E-4,3.8846590307504763E-4,8.1876419287492223E-4
242,1.286029988320839E-5,0.000392846923057767,0.000766358490933686,0.00113641706318406,0.00156315500150397,0.00199256023751859,6.9375563512086812E-4,3.9600946836848821E-4,8.6241733642867038E-4
243,1.5018837818991915E-5,0.000410079986446007,0.000799017521508561,0.00118400027101268,0.0016282355342186,0.00207526602824038,7.2627178125224227E-4,4.0355303366192857E-4,9.0607047998241853E-4
244,1.7177375754775549E-5,0.000427313049834247,0.000831676552083436,0.0012315834788413,0.00169331606693322,0.00215797181896217,7.5878792738361643E-4,4.1109659895536893E-4,9.4972362353616668E-4
245,1.9335913690559075E-5,0.000444546113222488,0.000864335582658311,0.00127916668666991,0.00175839659964784,0.00224067760968396,7.9130407351499059E-4,4.1864016424880929E-4,9.9337676708991657E-4
246,2.1494451626342601E-5,0.000461779176610728,0.000896994613233186,0.00132674989449853,0.00182347713236246,0.00232338340040575,8.2382021964636475E-4,4.2618372954224965E-4,1.0370299106436647E-3
247,2.3652989562126235E-5,0.000479012239998968,0.000929653643808062,0.00137433310232715,0.00188855766507708,0.00240608919112754,8.563363657777389E-4,4.3372729483569022E-4,1.0806830541974129E-3
248,2.581152749790976E-5,0.000496245303387208,0.000962312674382935,0.00142191631015576,0.0019536381977917,0.00248879498184934,8.8885251190911306E-4,4.4127086012913058E-4,1.124336197751161E-3
249,2.7970065433693286E-5,0.000513478366775449,0.00099497170495781,0.00146949951798438,0.00201871873050632,0.00257150077257113,9.2136865804048722E-4,4.4881442542257094E-4,1.1679893413049092E-3
250,3.012860336947692E-5,0.00053071143016369,0.00102763073553269,0.00151708272581299,0.00208379926322094,0.00265420656329292,9.5388480417186138E-4,4.563579907160113E-4,1.2116424848586573E-3
