"metadataID","dateCreated","metadata","file","filePath","updateID"
"DOC.20110601","6/1/2011","DOC samples filtered with GF/F into 20mL scintilation vials.  Samples were refrigerated until analysis.  Analysis done on Shimadzu TOC-V with TN module at CEST.","DOC.20110601.docx","Box/MFE/Database/Metadata Files","NA"
"dryMassEquations.20141112","11/12/2014","list of citations for the equations in the dry mass equations table.","dryMassEquations20141112.docx","Box/MFE/Database/Metadata Files","NA"
"dvm.survey.05122013","5/12/2013","NA","dvm.survey.05122013.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"FishDiets.20121009","10/9/2012","protocol to quantify fish stomach contents to estimate feeding behavior and energy pathways.  See attached document. Dry mass (mg) was estimated based on either body length, head with, or some other dimension (mm), using length-mass equations (see ""DRY_MASS_EQUATIONS"" database table). The dry mass was multiplied by the count data to get a total dry massof each prey item per stomach.Column meanings: dietItemBodyLength, dietItemHeadWidth, and dietItemOtherLength are all in mm. The other length refers to a different body part (e.g. a wing) if body or head length cannot be determined -this is elaborated on in the comments column for that particular diet item.dryMass_ etc is the dry mass of a diet item calculated from the length measurement, and the totalDryMass column multiplies this by the count of the diet item in order to get a total dry mass of each diet item per stomach/fish.","FishDiets.20121009.docx","Box/MFE/Database/Metadata Files","NA"
"Fishscapes.Angling.20180625","6/16/2020","See attached file.","Fishscapes.Angling.20180625.pdf","Box/MFE/Database/Metadata Files","metadataFix.2020"
"fishscapesCreel.Boats.20200512","5/12/2020","Updated creel protocol for instantaneous boat counts, formerly covered in fishscapesCreel.Instantaneous.20180910 but separated from trailers in 2019 with CREEL tables reorganization","fishscapesCreel.Boats.20200512.docx","Box/MFE/Database/Metadata Files","creelUpdate_20201007"
"fishscapesCreel.Flight.20200410","4/10/2020","Protocol for aerial surveys to conduct boat counts in 2019","fishscapesCreel.Flight.20200410.docx","Box/MFE/Database/Metadata Files","creelUpdate_20201008"
"fishscapesCreel.Instantaneous.20180910","9/10/2018","Methods used in FishScapes creel surveys, describing how instaneous boat and trailer counts are made","fishscapesCreel.Instantaneous.20180910.docx","Box/MFE/Database/Metadata Files","NA"
"fishscapesCreel.Interview.20180910","9/10/2018","Methods used in FishScapes creel surveys, describing how interviews with anglrs were conducted","fishscapesCreel.Interview.20180910.docx","Box/MFE/Database/Metadata Files","NA"
"fishscapesCreel.Interview.20200410","4/10/2020","Updated creel protocol for angler interviews with most recent datasheets ","fishscapesCreel.Interview.20200410.docx","Box/MFE/Database/Metadata Files","creelUpdate_20201009"
"fishscapesCreel.Trailers.20200512","5/12/2020","Updated creel protocol for instantaneous trailers counts, formerly covered in fishscapesCreel.Instantaneous.20180910 but separated from boats in 2019 with CREEL tables reorganization","fishscapesCreel.Trailers.20200512.docx","Box/MFE/Database/Metadata Files","creelUpdate_20201010"
"fishScapesLimno.20190319","3/19/2019","NA","fishScapesLimno.20190319.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"FishscapesSurvey.0.5mile.20180606","6/7/2018","Methods used in FishScapes electrofishing survey that correspond to WI DNR SEII protocol, half mile section","FishscapesSurvey.0.5mile.20180606.docx","Box/MFE/Database/Metadata Files","NA"
"FishscapesSurvey.1.5mile.20180607","6/7/2018","Methods used in FishScapes electrofishing survey that correspond to WI DNR SEII protocol","FishscapesSurvey.1.5mile.20180607.docx","Box/MFE/Database/Metadata Files","NA"
"FishscapesSurvey.hotBassLap.20180607","6/7/2018","Methods used in FishScapes electrofishing survey when all SEII sampling had been done. This sampling only targetted bass","FishscapesSurvey.hotBassLap.20180607.docx","Box/MFE/Database/Metadata Files","NA"
"GC5890.CH4.CO2.20110601","6/1/2011","HP 5890 series II GC with methanizer and FID and 7673 Autosampler.  Column Agilent GS-CarbonPLOT (30m,0.320mm,3.0um). See GC protocol, see GC FIDMETH_1 method for GC settings.  Methanizer converts CO2 into CH4 for analysis with FID.  Uses 2mm ID straight inlet liner without any glass wool.","GC5890.CH4.CO2.20110601.docx","Box/MFE/Database/Metadata Files","NA"
"GC5890.CH4.CO2.20120618","6/18/2012","Samples run on HP 5890 at Notre Dame with TCD and FID connected in series. 7673 autosampler.   2mm ID straight inlet liner. Column: Supelco Carboxen 1010 PLOT  (30m,0.320mm,3.0um).  GC method = CH4_CO2.M.  Method settings in attached document.","GC5890.CH4.CO2.20120618.docx","Box/MFE/Database/Metadata Files","NA"
"GC6890.CH4.CO2.20120522","5/22/2012","Samples run on Varian 6890N at UNDERC with TCD and FID connected in series.  Column: Agilent GS-CarbonPLOT (30m,0.320mm,3.0um).  2mm ID straight inlet liner. GC method = Jones_CH4_CO2_051012.m.  Method document will be attached.","GC6890.CH4.CO2.20120522.docx","Box/MFE/Database/Metadata Files","NA"
"gcProtocol_2018","5/1/2019","Updated gc protocol for gc at UNDERC","gcProtocol_2018.docx","Box/MFE/Database/Metadata Files","NA"
"GonadSurvey.20130509","5/9/2013","2013 Gonad survey.  See attached protocol","GonadSurvey.20130509.docx","Box/MFE/Database/Metadata Files","NA"
"GonadSurvey.20160623","NA","See attached file.","Metadata_GonadSurvey.20170915.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"GonadSurvey.20170915","6/23/2016","See attached file.","Metadata_GonadSurvey.20170915.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"hyperstability.20180521","11/8/2018","Colin Dassow largemouth bass hyperstability experiment in Camp Lake","hyperstability.20180521.docx","Box/MFE/Database/Metadata Files","NA"
"Invitrogen.SuperScriptIII.20100924","9/24/2010","Invitrogen Super Script III reverse transcriptase for cDNA.  See manufacturer's instructions for protocol.","Invitrogen.SuperScriptIII.pdf","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Iso.CH4.UCDavis.20110826","8/26/2010","samples sent to UCDavis for analysis.  Samples in 12mL exetainers.","NA","NA","NA"
"Iso.CN.CEST.20120112","1/12/2012","13C/15N analysis on EA-IRMS at CEST.  Tinned samples into 3.5x5mm tin capsules.  Target sample weights around 400-600ug.  Used acetanilide as standard.  In addition to the IRMS data in this database, there is additional data for every sample including peak areas, peak amplitudes, etc.  This information is located in Excel files for each sample run (each batch).  The raw data are in folders with the date that matches the date in the batch ID.","IRMS with CHNS as CEST.docx","Box/MFE/Database/Metadata Files","NA"
"Iso.dD.CPSIL.20120110","1/10/2012","dD analysis at CPSIL at Northern Arizona University.  Particulate samples were weighed into silver capsules.  Target weight of 350-400ug.  Water samples were stored in plastic 20mL scintilation vials and frozen.","NA","NA","NA"
"Iso.DIC.20111014","10/14/2011","samples run on gas bench IRMS at CEST.  Run at 70C.  Each sample run 3 times.  The average del 13C value was determined as the mean of the run with the most values in the 1-10 V range of ampl44. See attached file.","IRMS with Gas Bench at CEST.docx","Box/MFE/Database/Metadata Files","NA"
"Iso.POC.CEST.20111214","12/14/2011","Isotopes from POC filters.  Run on EA-IRMS at CEST for 13C and 15N.  Also get [POC] and [PON] from samples.  The filters were split into two layers and the top layers of two filters for each sample were combined into a tin.  Most of the bottom layers were saved except for a few that were run to determine the amount of C and N lost with the bottoms.  However, most bottoms from the first two POC runs were thrown away.  The POC and PON values were adjusted using the mean bottoms:tops ratio of the C and N concentrations in the filter bottoms.  i.e. adjusted C (mg) = C*(1+bottoms/tops).","IRMS with CHNS as CEST.docx","Box/MFE/Database/Metadata Files","NA"
"Iso.POC.CEST.20121206","12/6/2012","Isotopes from POC filters.  Run on EA-IRMS at CEST for 13C and 15N.  Also get [POC] and [PON] from samples.  Ran whole filters.","IRMS with CHNS as CEST.docx","Box/MFE/Database/Metadata Files","NA"
"LakeBathymetry.20130325","3/25/2013","Official UNDERC Lake maps were digitized and georeferenced in ArcMap.  Georeferenced to Michigan Inland Lake Assessment and Vilas County Lake shape files (combined into one shapefile).  Area_m2 is the 2D surface area of each depth layer (contour).  surfaceArea3D_m2 is the 3D surface area calculated in ArcMap from a tin surface with the 3D Analyst.   layerVolume_m3, the volume of each depth layer, is calculated as V=z(Atop+Abot+sqrt(Atop*Abot))/3; where z=difference in depth between contours, A= area at top and bottom of layer.  Depth layers then summed to get the volume from each layer to the bottom (volumeToBottom_m3).  volumeToBottom3D_m3 is the 3D volume from each layer to the bottom as calculated in ArcMap with 3D Analyst (calculated at same time as sedimentArea).  The Crampton data is from Cascade 2005.","How to Digitize a Lake Bathymetric Map.docx","Box/MFE/Database/Metadata Files","NA"
"Limno.Methane.Sample.20180416","4/16/2018","NA","LimnoMethaneProtocol_20180416.docx","Box/MFE/Database/Metadata Files","NA"
"Limno.pH.Sample.20190322","3/22/2019","NA","Limno.pH.Sample.20190322.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Limno.Sample.20110517","5/17/2011","UNDERC field limno method for 2011.  See attached protocol","Jones Limno Field Procedure_UNDERC 2011.docx","Box/MFE/Database/Metadata Files","NA"
"Limno.Sample.20120501","7/6/2020","UNDERC field limno method for 2012.  See attached protocol.  Updated from the 2011 protocol.","Limno_Procedure_Routine_UNDERC_2012.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Limno.Sample.20130416","7/6/2020","Similar protocol to Limno.Sample.20120501, but added pCO2 and DIC isotope samples.  Also sampling CH4/DIC samples with syringe rather than evacuated serum bottle.  See attached protocols.","Limno_Procedure_Routine_UNDERC_2013.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Limno.Sample.20140501","5/1/2014","Similar protocol to Limno.Sample.20130416, but document has field and lab protocols together.  See attached protocols.","Limno.Sample.20140501.docx","Box/MFE/Database/Metadata Files","NA"
"Limno.Sample.20160505","7/6/2020","Similar protocol to Limno.Sample.20130416, but with the following differences: 1) 2016 removes the E/W Long lake specification, allowing it to be used on all lakes across projects. 2) 2016 removes collection of DIC Isotopes and pCO2 Isotopes as part of regular sampling. 3) 2016 changes the method for collecting pCO2 samples. In 2013 they were taken separately; in 2016 they are taken from the same Van Dorn pull as the other gas and water chem samples. 4) 2016 adds Inlet/Outlet sampling methods. No change to lab methods.","Limno_Procedure_Routine_UNDERC_2016.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Lipids.20120815","8/15/2012","protocol for lipid extraction and analysis on a GC with FID.  see attached protocol.","Lipid Extraction Protocol.docx","Box/MFE/Database/Metadata Files","NA"
"MarkRecap.20120228","2/28/2012","NA","MarkRecap.20120228.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Methane.Sample.20100929","9/29/2010","Michiana methane survey fall 2010. See attached file.","Fall 2010 Michiana Methane Survey.docx","Box/MFE/Database/Metadata Files","NA"
"Methane.Sample.20110601","7/6/2020","Michiana methane survey field limno method.  See attached protocols","Jones_Lab_Methane_Survey_2011.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"MethSurv.Sample.20120522","5/22/2012","Will's methane survey and BO/CB bog eutrophication project.  Also ND campus lakes monitoring project.  Sampling protocol is attached.  GC data processed (calc ppm, uM) and collected in a text file using R scripts (UNDERCgcProcessing.R and UNDERC_GCdatabaseAppending.R) following rules listed in UNDERC_GC_Rules.040213.docx.","MethSurv.Sample.20120522.docx","Box/MFE/Database/Metadata Files","NA"
"MinnowTrapSurvey.20120228","2/28/2012","NA","minnowTrapMetadata.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"MoBio.PS.DNA.20100924","9/24/2010","MoBio Power Soil DNA extraction kit.  See manufacturer's instructions for protocol.","MoBio.PS.DNA.pdf","Box/MFE/Database/Metadata Files","metadataFix.2020"
"MoBio.PS.RNA.20100924","9/24/2010","MoBio Power Soil RNA extraction kit.   See manufacturer's instructions for protocol.","MoBio.PS.RNA.20100924.pdf","Box/MFE/Database/Metadata Files","metadataFix.2020"
"MoBio.PS.RNA+DNA.20100924","9/24/2010","This was an add-on module for extracting DNA when using the MoBio PowerSoil RNA extraction kit. It appears it is no longer sold.","NA","NA","metadataFix.2020"
"MOLC.Sample.20120612","6/12/2012","Rachel Pilla's limno corrals on Morris - 2012.  MO=Morris, LC=limno corrals","MOLC.Sample.20120612.docx","Box/MFE/Database/Metadata Files","NA"
"Nutrients.N.20110601","6/1/2011","Unfiltered (TP,TN) or filtered (SRP,NO3) water samples were frozen in pee cups or in 60mL polypropylene bottles until analysis.  TP and TN samples were persulfate digested prior to analysis.  Nitrogen samples were run on a scanning spectrophotometer (Spectronic Genesis II) and nitrogen (as nitrate) was determined with the double derivative method.  Samples after 6/21/12 were analyzed on a Cary UV/Vis spec (Fein Lab) TP and SRP samples were analyzed in a 10cm cuvette on a Shimadzu spec (Common Lab) at 885nm.  Particulate P was measured from 25mm GF/F filters that were ashed and then digested in 30mL of MilliQ water and then analyzed the same as a TP sample.  See attached protocols.","Nitrate or TN Determination with Spec.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Nutrients.P.20110601","6/1/2011","Unfiltered (TP,TN) or filtered (SRP,NO3) water samples were frozen in pee cups or in 60mL polypropylene bottles until analysis.  TP and TN samples were persulfate digested prior to analysis.  Nitrogen samples were run on a scanning spectrophotometer (Spectronic Genesis II) and nitrogen (as nitrate) was determined with the double derivative method.  Samples after 6/21/12 were analyzed on a Cary UV/Vis spec (Fein Lab) TP and SRP samples were analyzed in a 10cm cuvette on a Shimadzu spec (Common Lab) at 885nm.  Particulate P was measured from 25mm GF/F filters that were ashed and then digested in 30mL of MilliQ water and then analyzed the same as a TP sample.  See attached protocols.","JonesLab Phosphorus Protocol.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"pCO2.20110901","9/1/2011","2011 pCO2 samples.  pCO2 samples collected using headspace equilibration method - see protocol for Limno.Sample.20120501 for more details on sample collection.  Gas samples were analyzed on an IRGA at UNDERC and saved as a text file for each lake/date.  Typically, each data file contains 5 peaks in the following order: standard (1000ppm), atmosphere, pCO2 rep1, rep2, rep3.  These peaks were identified from the raw data using Stuart's R script IRGA_pCO2_analysis_12-13-11.r.  This script calculates ppm values for each peak using the peak heights.  pCO2 calculations were then done in the R script pco2_2011.r.  ppm values for replicate pCO2 samples for each lake were averaged and then converted to um/L using the bunsen headspace calculations (R script ppm2umol).  Atmosphere ppm values were used as the source gas in the headspace calculations.  Atmosphere ppm values were averaged for each sampling date regardless of the lake at which they were sampled.  This assumes that atmosphere CO2 is the same everywhere at UNDERC and allows for a better estimate than using a single value.  CO2 umol/L values were then converted to pCO2 by multiplying by the lake water temp (in K) and the ideal gas constant R (0.0821 L atm/mol K) resulting in units of uatm.  Water temp values were taken from the lake profiles.  Barometric pressure (used in bunsen headspace calcs) was the average pressure for that each day form the WL met station.","IRGA_pCO2_analysis_12-13-11.R","Box/MFE/Database/Metadata Files","metadataFix.2020"
"pCO2.20130318","3/18/2013","pCO2 samples collected using headspace equilibration method - see protocol for Limno.Sample.20120501 for more details on sample collection.  Gas samples were analyzed on the 6890 GC at UNDERC (see GC6890.CH4.CO2.20120522 for more details on GC settings).  Calculations done in R script pCO2_2012.r.  ppm values for replicate pCO2 samples for each lake were averaged and then converted to um/L using the bunsen headspace calculations (R script ppm2umol).  Atmosphere ppm values were used as the source gas in the headspace calculations.  Atmosphere ppm values were averaged for each sampling date regardless of the lake at which they were sampled.  This assumes that atmosphere CO2 is the same everywhere at UNDERC and allows for a better estimate than using a single value.  CO2 umol/L values were then converted to pCO2 by multiplying by the lake water temp (in K) and the ideal gas constant R (0.0821 L atm/mol K) resulting in units of uatm.  Water temp values were taken from the lake profiles.  Barometric pressure (used in bunsen headspace calcs) was the average pressure for that each day form the WL met station","NA","NA","NA"
"PelagicBacterialProduction.Analysis.20110526","5/26/2011","see attached file","PelagicBacterialProduction.Analysis.20110526.docx","Box/MFE/Database/Metadata Files","NA"
"PeriphytonTile.Sample.20120601","6/1/2012","periphyton samples collected from unglazed ceramic tiles (6""x6"") suspended from floats at 0.5m from the lake surface.  Tiles deployed near the lake edge (i.e. littoral, not pelagic). The tiles were left out for at least a month to accumulate algae. Care was taken to remove any bugs etc that were on the tiles beforethe algae was scraped off.","NA","NA","NA"
"Piezometer.Install.20110512","5/12/2011","Installation procedure for piezometers.","Piezometer.Install.20110512.docx","Box/MFE/Database/Metadata Files","NA"
"Piezometer.Sample.20140319","3/9/2014","Well and water levels (inside and outside the piezometer, respectively) are measured from the top of the piezometer to the water using the Solinst water level meter. The water level meter is lowered until it touches water indicated by a beep from the meter. Upland piezometers have an internal well water height but no lake water level, and the height of the piezometer above the ground is constant.","Piezometer.Sample.20140319.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Piezometer.sensors.20190510","5/10/2019","see attached protocol","Piezometer.sensors.20190510.docx","Box/MFE/Database/Metadata Files","NA"
"Piezometer.SlugTests.ChemSamples.20180523","5/23/2018","Sampling protocol for piezometer slug tests and chemistry sampling","PiezometerSlugTests_ChemSamples_20180523V3.docx","Box/MFE/Database/Metadata Files","NA"
"POC.20110601","6/1/2011","POC samples prefiltered through 153um nitex mesh then filtered with 25mm GF/F.  Filteres dried at 60C.  Run for [POC]/[PON] and isotopes (C,N) on EA IRMS at CEST.","NA","NA","NA"
"Rhodamine.20130613","6/13/2013","see metadata file.","Rhodamine.20130613.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.BA.Baseline","5/26/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.BA.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.BO.Baseline","5/25/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.BO.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.BR.Baseline","5/26/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.BR.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.CB.Baseline","5/25/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.CB.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.CR.20130701","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.CR.20130701.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.CR.201407","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.CR.201407.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.EL.20130613","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.EL.20130613.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.EL.20140725","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.EL.20140725.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.HB.20130627","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.HB.20130627.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.HB.20140725","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.HB.20140725.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.HB.20150608","6/8/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.HB.20150608.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.MO.20130627","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.MO.20130627.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.MO.201407","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.MO.201407.docx","Box/MFE/Database/Metadata Files","NA"
"Rhodamine.MO.20150608","6/11/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.MO.20150608.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.NG.20150609","6/9/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.NG.20150609.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.NG.Baseline","5/28/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.NG.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.WA.Baseline","5/28/2015","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.WA.Baseline.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"Rhodamine.WL.20130730","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.WL.20130730.docx","Box/MFE/Database/Metadata Files","NA"
