"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","temp","DOmgL","DOsat","SpC","pH","ORP","PAR","metadataID","comments","updateID"
3,"WL_DeepHole_20200604_0915_point_3_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",3,3,9.8,9.76,86.5,12.2,5.42,300.2,15.29,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_3.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",3.5,3.5,8,6.61,56.5,12.8,5.1,314.7,11.44,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_4_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",4,4,6.5,3.55,29,13.4,5,317.5,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_4.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",4.5,4.5,5.8,1.16,9.2,13.9,4.93,317.7,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",5,5,5.3,0.23,2,14.7,4.96,315.2,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_5.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",5.5,5.5,5,0.18,1.4,15.9,5,304.7,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_6_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",6,6,4.8,0.13,1,16.8,5.04,290.4,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_6.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",6.5,6.5,4.7,0.13,1,17.3,5.09,123,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_7_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",7,7,4.7,0.11,0.8,17.7,5.17,90.8,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_7.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",7.5,7.5,4.6,0.1,0.9,17.9,5.17,84.9,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_8_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",8,8,4.6,0.08,0.9,18,5.22,79.2,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_9_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",9,9,4.6,0.09,0.7,18.1,5.19,75.3,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_10_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",10,10,4.6,0.08,0.6,18.3,5.19,73.3,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_11_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",11,11,4.6,0.08,0.6,18.3,5.23,67.4,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_12_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",12,12,4.6,0.08,0.6,18.5,5.25,65.4,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_13_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",13,13,4.6,0.08,0.6,18.6,5.23,66,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_14_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",14,14,4.6,0.09,0.7,18.6,5.24,64,NA,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"FE_DeepHole_20200604_1045_point_0_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",0,0,21.1,8.1,92,12.9,5.12,229.3,884.2,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_0.25_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",0.25,0.25,NA,NA,NA,NA,NA,NA,340.7,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_0.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",0.5,0.5,20.9,8.05,90.9,12.9,5.31,219.3,137.83,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_0.75_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",0.75,0.75,NA,NA,NA,NA,NA,NA,74.98,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_1_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",1,1,17.3,8.62,89,12.6,5.29,229.4,40.25,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_1.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",1.5,1.5,15,8.73,87.5,12.7,5.28,232,13.42,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_2_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",2,2,12.8,8.44,78.6,12.9,5.28,247.3,5.31,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_2.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",2.5,2.5,9.8,7.19,62.7,13.6,5.08,261,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_3_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",3,3,6.7,2.69,24.2,14.9,4.98,260,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_3.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",3.5,3.5,5.5,1.57,12.1,15.4,4.98,261.2,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_4_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",4,4,4.9,1.91,14.9,15.8,4.82,266,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_4.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",4.5,4.5,4.5,1.91,15.3,16.2,4.81,261.7,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",5,5,4.2,2.57,20.2,16.7,4.75,269,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_5.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",5.5,5.5,4.1,2.1,15.1,17,4.76,267.7,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_6_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",6,6,4.1,0.98,7.8,16.8,4.78,267.4,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_6.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",6.5,6.5,4.1,0.46,3.5,16.8,4.92,259.2,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_7_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",7,7,4.1,0.52,3.9,17.2,4.97,254.7,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_7.5_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",7.5,7.5,4.1,0.46,3.6,17.5,5.01,252.1,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_8_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",8,8,4.2,0.42,3.2,18,5.03,250.3,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_9_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",9,9,4.2,0.4,3.1,20,5.18,221.7,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_10_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",10,10,4.3,0.4,3,22.4,5.24,127.7,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_11_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",11,11,4.3,0.4,2.8,22.7,5.33,114.3,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
3,"FE_DeepHole_20200604_1045_point_12_Limno.Sample.20160505","FE","DeepHole","6/4/2020","6/4/2020 10:45","point",12,12,4.3,0.37,3,23.4,5.37,97.2,NA,"Limno.Sample.20160505","Deck PAR 1143.9",NA
35,"BR_DeepHole_20200606_1354_point_0_Limno.Sample.20160505","BR","DeepHole","6/6/2020","6/6/2020 13:54","point",0,0,20.9,8.01,89.5,125.1,8.09,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505","BR","DeepHole","6/6/2020","6/6/2020 13:54","point",5.5,5.5,9.6,0.58,5.1,149,7.7,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"CB_DeepHole_20200606_1010_point_0_Limno.Sample.20160505","CB","DeepHole","6/6/2020","6/6/2020 10:10","point",0,0,20.3,7.12,79.1,18.7,3.55,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole","6/6/2020","6/6/2020 10:10","point",5.5,5.5,4.54,0.71,5.7,19.2,3.6,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"NG_DeepHole_20200606_1135_point_0_Limno.Sample.20160505","NG","DeepHole","6/6/2020","6/6/2020 11:35","point",0,0,18.6,6.32,67.9,31.1,4.12,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505","NG","DeepHole","6/6/2020","6/6/2020 11:35","point",5.5,5.5,4.1,0.87,6.7,34.1,4.23,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"WA_DeepHole_20200606_1100_point_0_Limno.Sample.20160505","WA","DeepHole","6/6/2020","6/6/2020 11:00","point",0,0,20.4,7.16,79.4,152,6.97,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505","WA","DeepHole","6/6/2020","6/6/2020 11:00","point",5.5,5.5,5.7,0.82,6.8,312.3,7.18,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"MI_DeepHole_20200607_1047_point_0_Limno.Sample.20160505","MI","DeepHole","6/7/2020","6/7/2020 10:47","point",0,0,19,6.5,67.9,14.3,5.19,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505","MI","DeepHole","6/7/2020","6/7/2020 10:47","point",10,10,4.5,1.39,11.4,17.8,4.39,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"PR_DeepHole_20200607_1500_point_0_Limno.Sample.20160505","PR","DeepHole","6/7/2020","6/7/2020 15:00","point",0,0,19.4,8.1,88.5,84.6,7.59,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505","PR","DeepHole","6/7/2020","6/7/2020 15:00","point",2.5,2.5,18.3,7.8,82.9,84.9,7.7,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"TF_DeepHole_20200607_1145_point_0_Limno.Sample.20160505","TF","DeepHole","6/7/2020","6/7/2020 11:45","point",0,0,18.5,7.85,83.3,81.7,7.05,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
35,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505","TF","DeepHole","6/7/2020","6/7/2020 11:45","point",7,7,10.1,5.02,44.2,83.4,7.03,NA,NA,"Limno.Sample.20160505","near bottom sampling",NA
3,"FE_DeepHole_20200609_1148_point_0_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",0,0,24.1,7.26,87.6,12.7,5.29,229.7,826.1,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_0.25_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",0.25,0.25,NA,NA,NA,NA,NA,NA,326.2,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_0.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",0.5,0.5,0.5,7.4,84.1,12.7,5.32,NA,142.4,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_0.75_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",0.75,0.75,NA,NA,NA,NA,NA,NA,98.54,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_1_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",1,1,19.3,7.74,83.6,12.6,5.43,237.2,54.4,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_1.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",1.5,1.5,17.6,7.54,78.4,12.8,5.27,252.9,21.19,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_2_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",2,2,14,8.13,77.8,12.7,5.32,260.7,8.22,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_2.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",2.5,2.5,10.6,6.4,57.1,13.6,5.08,274,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_3_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",3,3,7,3.12,26,14.7,4.91,285.6,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_3.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",3.5,3.5,5.8,1.14,11.2,15.6,4.95,282,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_4_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",4,4,4.8,1.49,12,16,4.88,282.2,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_4.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",4.5,4.5,4.4,1.55,12.4,16.4,4.85,285.7,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",5,5,4.2,1.49,11.6,16.9,4.85,282,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_5.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",5.5,5.5,4.2,0.94,7.3,16.9,4.84,281.1,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_6_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",6,6,4.2,0.67,5,17,4.9,277.6,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_6.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",6.5,6.5,4.2,0.52,4,17.1,4.89,278,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_7_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",7,7,4.2,0.41,2.9,17.5,4.94,273,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_7.5_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",7.5,7.5,4.2,0.37,2.8,18.4,5.01,268.7,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_8_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",8,8,4.2,0.37,3,18.7,5.07,264.8,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_9_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",9,9,4.2,0.38,2.9,20.3,5.12,228.4,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_10_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",10,10,4.3,0.35,2.7,21.9,5.23,175,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_11_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",11,11,4.3,0.33,2.7,22.7,5.24,150,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_12_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",12,12,4.3,0.34,2.5,23.4,5.24,132,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_13_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",13,13,4.4,0.34,2.6,24.9,5.37,112.2,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"FE_DeepHole_20200609_1148_point_14_Limno.Sample.20160505","FE","DeepHole","6/9/2020","6/9/2020 11:48","point",14,14,4.4,0.34,2.6,26.4,5.44,100.5,NA,"Limno.Sample.20160505","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir",NA
3,"WL_DeepHole_20200609_1020_point_0_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",0,0,22.3,7.76,92.3,12,7.3,274.4,408.2,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_0.25_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",0.25,0.25,NA,NA,NA,NA,NA,NA,282.4,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_0.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",0.5,0.5,22,7.96,89.8,12,6.14,274.6,186.86,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_0.75_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",0.75,0.75,NA,NA,NA,NA,NA,NA,144.61,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_1_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",1,1,21.1,7.94,88.8,12,6.19,273.4,95.75,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_1.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",1.5,1.5,19,8.15,88.8,11.9,5.67,309.1,65.01,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_2_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",2,2,16.1,9.47,96.3,12.2,5.58,321.4,38.96,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_2.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",2.5,2.5,12.4,10.35,96.7,12.2,5.51,323.7,24.2,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_3_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",3,3,10.2,9.88,89,12.1,5.42,330.2,14.18,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_3.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",3.5,3.5,8.2,7.31,62,12.8,5.24,338.5,11.18,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_4_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",4,4,6.9,3.76,30.9,13.5,5.08,343.1,4.53,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_4.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",4.5,4.5,6,1,7.7,14,5.01,343.1,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",5,5,5.4,0.58,4.1,15,5,341.4,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_5.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",5.5,5.5,5.1,0.44,3.4,16.4,5.02,336,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_6_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",6,6,4.9,0.41,3.2,17.2,5.06,325.7,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_6.5_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",6.5,6.5,4.8,0.42,3.2,17.6,5.09,186.7,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
3,"WL_DeepHole_20200609_1020_point_7_Limno.Sample.20160505","WL","DeepHole","6/9/2020","6/9/2020 10:20","point",7,7,4.7,0.39,3,17.7,5.11,158.4,NA,"Limno.Sample.20160505","Deck PAR 756.4 ",NA
